name,imageFileName,type1color,type1file,type2color,type2file,megafile,movefile,forms,evolutions,move,type1,type2,ability,attack1fill,attack1color,attack1size,attack1range,attack1name,attack1power,attack1effect,attack2fill,attack2color,attack2size,attack2range,attack2name,attack2power,attack2effect,attack3fill,attack3color,attack3size,attack3range,attack3name,attack3power,attack3effect,attack4fill,attack4color,attack4size,attack4range,attack4name,attack4power,attack4effect,attack5fill,attack5color,attack5size,attack5range,attack5name,attack5power,attack5effect,attack6fill,attack6color,attack6size,attack6range,attack6name,attack6power,attack6effect,attack7fill,attack7color,attack7size,attack7range,attack7name,attack7power,attack7effect,attack8fill,attack8color,attack8size,attack8range,attack8name,attack8power,attack8effect,attack9fill,attack9color,attack9size,attack9range,attack9name,attack9power,attack9effect
Snorlax,Sprites/143MS.png,DarkGray,TypeLabels/Normal.png,,,,mp1.png,,,1,Normal,,Still> This Pokemon cannot be moved by the Attacks of other Pokemon (except by Sweet Scent). This Pokemon cannot be affected by special conditions other than asleep.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",9,10,Big Yawn,★,This Pokemon and the battle opponent fall asleep,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,18,Body Slam,150,The battle opponent becomes paralyzed,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,24,Giga Impact,180,"If the battle opponent is knocked out, the next turn will always be your opponent's.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Articuno,Sprites/144MS.png,Aqua,TypeLabels/Ice.png,RoyalBlue,TypeLabels/Flying.png,,mp2.png,,,2,Ice,Flying,"Soar> This Pokemon may MP move over Pokemon on the field that don't have Soar. If this Pokemon has a Charge marker, it gains +1 MP and deals +30 damage.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",4,4,Steel Wing,130,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,12,Cold Crush,90,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,15,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",4,19,Roost,,"This Pokemon recovers from all status effects. In exchange, it must then Wait 3.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",5,24,Ice Charge,★★,"This Pokemon gains a charge marker. You may remove the charge marker at the start of your turn. On the turn in which the charge marker is removed, this Pokemon, instead of attacking, may cause an adjacent opposing Pokemon and Pokemon adjacent to it (other than this Pokemon) it to become frozen (without attacking). If it does, your turn ends",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapdos,Sprites/145MS.png,Yellow,TypeLabels/Electric.png,RoyalBlue,TypeLabels/Flying.png,,mp2.png,,,2,Electric,Flying,"Soar> This Pokemon may MP move over Pokemon on the field that don't have Soar. If this Pokemon has a Charge marker, it gains +1 MP and deals +30 damage.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",4,4,Steel Wing,50,,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",8,12,Thunder Crash,100,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,15,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",4,19,Roost,,"This Pokemon recovers from all status effects. In exchange, it must then Wait 3.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",5,24,Thunder Charge,★★,"This Pokemon gains a charge marker. You may remove the charge marker at the start of your turn. On the turn in which the charge marker is removed, this Pokemon, instead of attacking, may cause an adjacent opposing Pokemon and a succession of Pokemon adjacent to it (other than this Pokemon) it to become frozen (without attacking). If it does, your turn ends",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moltres,Sprites/146MS.png,Red,TypeLabels/Fire.png,RoyalBlue,TypeLabels/Flying.png,,mp2.png,,,2,Fire,Flying,"Soar> This Pokemon may MP move over Pokemon on the field that don't have Soar. If this Pokemon has a Charge marker, it gains +1 MP and deals +30 damage.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",4,4,Steel Wing,60,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,12,Crushing Flames,130,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,15,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",4,19,Roost,,"This Pokemon recovers from all status effects. In exchange, it must then Wait 3.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",5,24,Flame Charge,★★,"This Pokemon gains a charge marker. You may remove the charge marker at the start of your turn. On the turn in which the charge marker is removed, this Pokemon, instead of attacking, may cause an adjacent opposing Pokemon and Pokemon in a straight line behind it to become burned (without attacking). If it does, your turn ends",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dratini,Sprites/147MS.png,Blue,TypeLabels/Dragon.png,,,,mp2.png,,Dragonair,2,Dragon,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",5,5,Dragon Rage,80,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,11,Push Aside,★★,The battle opponent is moved to the bench and gains Wait,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,13,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",11,24,Freezing Tail,30,"If this Pokemon is knocked out, the battle opponent becomes frozen.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonair,Sprites/148MS.png,Blue,TypeLabels/Dragon.png,,,,mp2.png,,Dragonite,2,Dragon,,"Shed Skin> At the beginning of your turn, you may remove all special conditions from this Pokemon. When you do, you may evolve this Pokemon, if possible. Your turn ends.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,9,Magnetic Storm,★★,This Pokemon and all neighbor Pokemon become paralyzed.,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,12,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",12,24,Dragon Tail,80,Benches your battle opponent (except when opponent has Fainted). Your battle opponent must then Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dragonite,Sprites/149MS.png,Blue,TypeLabels/Dragon.png,RoyalBlue,TypeLabels/Flying.png,,mp1.png,,,1,Dragon,Flying,"Speed Booster> When this Pokemon evolves, it will gain +1 MP","rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",7,7,Extreme Speed,100,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,10,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,17,Sightseeing,★,"This Pokemon jumps over the battle opponent and lands 1-2 steps away, then gains Wait","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,24,Dragon Tail,140,Benches your battle opponent (except when opponent has Fainted). Your battle opponent must then Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mewtwo,Sprites/150MS.png,HotPink,TypeLabels/Psychic.png,,,,mp2.png,,"Mewtwo, Mega X; Mewtwo, Mega Y",2,Psychic,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,8,Psychic Shove,★★,The battle opponent is knocked as far back as possible in a straight line. Any Pokemon it collides with are also knocked back. All affected Pokemon gain Wait,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",4,12,Annihilate,,This Pokemon moves 2 steps away,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,22,Psycho Cut,100+,"Spin again - if Psycho Cut is spun, it deals +50 damage","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mewtwo, Mega X",Sprites/150MXMS.png,HotPink,TypeLabels/Psychic.png,Maroon,TypeLabels/Fighting.png,mega.png,mp2.png,,,2,Psychic,Fighting,"Ruinous Helix> This Pokemon is not knocked out in battle (if it would be, it moves to the bench instead). When this Pokemon battles, this Pokemon's number of Mega Evolution turns increases by 2.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,8,Psychic Shove,★★,The battle opponent is knocked as far back as possible in a straight line. Any Pokemon it collides with are also knocked back. All affected Pokemon gain Wait,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,13,Laser Focus,," On the next turn, all the Purple Attacks of the battle opponent of this Pokemon become Misses","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",9,22,Psystrike,150,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mewtwo, Mega Y",Sprites/150MYMS.png,HotPink,TypeLabels/Psychic.png,,,mega.png,mp3.png,,,3,Psychic,,"Transcendent Helix> This Pokemon cannot be moved by the Attacks of other Pokemon. When this Pokemon battles, this Pokemon's number of Mega Evolution turns increases by 2.","rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",8,8,Hyper Sonic,50,"If the battle opponent's Attack is 100 damage or more, this Pokemon cannot be knocked out","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,13,Annihilate,,This Pokemon moves 2 steps away,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",9,22,Psystrike,130,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mew,Sprites/151MS.png,HotPink,TypeLabels/Psychic.png,,,,mp3.png,,,3,Psychic,,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,7,Psychic,100,,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",12,19,Hyper Sonic,30,"If the battle opponent's Attack is 100 damage or more, this Pokemon cannot be knocked out","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,24,Shuttle Flip,,This Pokemon can take 1-2 steps back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chikorita,Sprites/152MS.png,LawnGreen,TypeLabels/Grass.png,,,,mp3.png,,Bayleef,3,Grass,,"Refreshing Aroma> When this Pokemon moves from the bench to the field, remove any special conditions from all of your Pokemon on the field.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,6,Sweet Scent,★,One Pokemon within 3 steps' range is drawn 1-2 steps closer to this Pokemon and gains Wait,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",4,10,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,24,Grass Knot,40,"If the battle opponent's attack is 120 damage or higher, the battle opponent is knocked out instead of this Pokemon.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bayleef,Sprites/153MS.png,LawnGreen,TypeLabels/Grass.png,,,,mp2.png,,Meganium,2,Grass,,Spicy Scent> This Pokemon gains +20 damage in battles in your turn,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,3,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,10,Poison Powder,★,The battle opponent becomes poisoned,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",14,24,Body Slam,80,The battle opponent becomes paralyzed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meganium,Sprites/154MS.png,LawnGreen,TypeLabels/Grass.png,,,,mp2.png,,,2,Grass,,Leaf Guard> This Pokemon cannot be affected by special conditions other than sleep. Do not attach markers to this Pokemon from the attacks of it battle opponent.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",5,5,Body Slam,100,The battle opponent becomes paralyzed.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",9,14,Petal Blizzard,160,All opposing Pokemon on the field spin. Those that spin a Miss are knocked out.,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,22,Synthesis,★,"While they are on the field, your Grass-Type Pokemon deal +20 damage to the battle opponent.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyndaquil,Sprites/155MS.png,Red,TypeLabels/Fire.png,,,,mp3.png,,Quilava,3,Fire,,Rally> This Pokemon's Ember gains +20 damage for each Pokemon in your P.C.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",5,5,Ember,20,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,13,Tackle,30,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",5,18,Ember,20,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",6,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quilava,Sprites/156MS.png,Red,TypeLabels/Fire.png,,,,mp2.png,,Typhlosion,2,Fire,,Rally> This Pokemon's Ember gains +20 damage for each Pokemon in your P.C.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",13,13,Flamethrower,40,"If this Pokemon is knocked out, the battle opponent becomes burned","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,21,Ember,30,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",3,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Typhlosion,Sprites/157Ms.png,Red,TypeLabels/Fire.png,,,,mp1.png,,,1,Fire,,Flame Acceleration> This Pokemon gains +1 MP and +30 damage for each Pokemon in your P.C..,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",3,5,Ember,60,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,12,Hot Air,★,All neighbor Pokemon become burned,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",3,15,Ember,60,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,17,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,24,Burn Up,110,"The battle opponent and all Pokemon adjacent to it become burned. If the battle opponent is already burned and this attack knocks it out, it is eliminated instead and this attack becomes Flamethrower (White, 90, if this Pokemon is knocked out, the battle opponent becomes burned) for the rest of the duel.",,,,,,,,,,,,,,,,,,,,,
Totodile,Sprites/158MS.png,LightSeaGreen,TypeLabels/Water.png,,,,mp3.png,,Croconaw,3,Water,,Bite Instinct> This Pokemon must battle if possible after making an MP move.,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,7,Bite,90,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",5,12,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",12,24,Water Gun,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croconaw,Sprites/159MS.png,LightSeaGreen,TypeLabels/Water.png,,,,mp2.png,,Feraligatr,2,Water,,Bite Instinct> This Pokemon must battle if possible after making an MP move.,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,7,Scary Face,★,The battle opponent is knocked 1 step back (the battle opponent chooses the point) and gains Wait,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",5,12,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",12,24,Bite,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feraligatr,Sprites/160MS.png,LightSeaGreen,TypeLabels/Water.png,,,,mp1.png,,,1,Water,,"Speed Booster> When this Pokemon evolves, it will gain +1 MP","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,8,Hydro Pump,160,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,16,Bite,100,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,17,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,24,Wash Out,★★,The battle opponent is knocked 2 steps back and has Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledyba,Sprites/165MS.png,YellowGreen,TypeLabels/Bug.png,RoyalBlue,TypeLabels/Flying.png,,mp2.png,,Ledian,2,Bug,Flying,"Swarm> At the start of your turn, instead of an MP move, this Pokemon may move one of your Ledyba or Ledian on the field next to itself. If opposing Pokemon do not occupy all your entry points, you may move one of your Ledyba or Ledian on the bench next to this Pokemon. In either case, your turn ends.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,6,Tackle,30,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,7,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",5,12,Double-Edge,★★,This Pokemon and the battle opponent are knocked out,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,13,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,19,Tackle,30,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",5,24,Light Screen,★★★,,,,,,,,,,,,,,,,,,,,,,
Ledian,Sprites/166MS.png,YellowGreen,TypeLabels/Bug.png,RoyalBlue,TypeLabels/Flying.png,,mp2.png,,,2,Bug,Flying,"Swarm> At the start of your turn, instead of an MP move, this Pokemon may move one of your Ledyba or Ledian on the field next to itself. If opposing Pokemon do not occupy all your entry points, you may move one of your Ledyba or Ledian on the bench next to this Pokemon. In either case, your turn ends.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,7,Air Slash,50,The battle opponent gains Wait,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",4,11,Double-Edge,★★,This Pokemon and the battle opponent are knocked out,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",6,17,Mach Punch,30,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,24,Light Screen,★★★,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crobat,Sprites/169MS.png,MediumVioletRed,TypeLabels/Poison.png,RoyalBlue,TypeLabels/Flying.png,,mp3.png,,,3,Poison,Flying,"Diffuse Poison> When this Pokemon is on the field, all poisoned Pokemon will do a further -20 damage. This effect does not stack","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",4,5,Poison Fang,20,"If this Pokemon is knocked out, the battle opponent becomes poisoned","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,6,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,12,Noxious Fang,40,"If this Pokemon is knocked out, the battle opponent becomes noxious","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,13,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",4,17,Poison Fang,20,"If this Pokemon is knocked out, the battle opponent becomes poisoned","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,18,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",6,24,Shuttle Flip,,This Pokemon can take 1-2 steps back,,,,,,,
Chinchou,Sprites/170MS.png,Yellow,TypeLabels/Electric.png,,,,mp2.png,,Lanturn,2,Electric,,"Volt Absorb> When this Pokemon becomes paralyzed, attach a Volt Absorb marker to it. While that marker is attached to it, this Pokemon is not knocked out in battle. Instead of knocking it out, remove the marker and any special conditions affecting this Pokemon.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",13,15,Discharge,60,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,16,Dodge,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,24,Double Shock,★★,This Pokemon and its battle opponent become paralyzed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lanturn,Sprites/171MS.png,Yellow,TypeLabels/Electric.png,,,,mp2.png,,,2,Electric,,"Volt Absorb> When this Pokemon becomes paralyzed, attach a Volt Absorb marker to it. While that marker is attached to it, this Pokemon is not knocked out in battle. Instead of knocking it out, remove the marker and any special conditions affecting this Pokemon.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,10,Guiding Light,★★,"One Bug-Type Pokemon on the field, or one other Pokemon within 3 steps, moves 1 step. That Pokemon gains Wait.","rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,11,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",13,24,Thunderbolt,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Igglybuff,Sprites/174MS.png,DarkGray,TypeLabels/Normal.png,DeepPink,TypeLabels/Fairy.png,,mp2.png,,Jigglypuff,2,Normal,Fairy,"Balloon Baby> If a Pokemon finishes an MP move next to this Pokemon, this Pokemon moves 1 space away.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",10,12,Sing,★,The battle opponent falls asleep,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",12,24,Pound,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ampharos, Mega",Sprites/181MMS.png,Yellow,TypeLabels/Electric.png,Blue,TypeLabels/Dragon.png,mega.png,mp2.png,,,2,Electric,Dragon,"Homeward Lights> When this Pokemon appears as a Mega Evolution, and again when its Mega Evolution ends, you may move one of your Pokemon in the Ultra Space or P.C. next to this Pokemon.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,11,Dragon Pulse,100,Deals +50 damage if the battle opponent is a Dragon-type Pokemon,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,12,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",10,22,Override,110,All adjacent Pokemon become paralyzed,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,23,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,24,Dodge,,,,,,,,,,,,,,,,,,,,,,,
Ampharos,Sprites/181MS.png,Yellow,TypeLabels/Electric.png,,,,mp2.png,,"Ampharos, Mega",2,Electric,,"Electric Upsurge> While this Pokemon is on the field, your Electric-type Pokemon deal +10 damage for each paralyzed Pokemon on the field. This effect does not stack.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,1,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,9,Dragon Pulse,90,Deals +50 damage if the battle opponent is a Dragon-type Pokemon,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,10,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",1,11,Dodge,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,19,Override,100,All adjacent Pokemon become paralyzed,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,24,Beacon Light,,Removes Wait from all your Pokemon on the field,,,,,,,,,,,,,,,,,,,,,
Marill,Sprites/183MS.png,LightSeaGreen,TypeLabels/Water.png,DeepPink,TypeLabels/Fairy.png,,mp2.png,,Azumarill,2,Water,Fairy,"Huge Power> If this Pokemon is not affected by a special condition, it deals +50 damage.","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",5,5,Tackle,30,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,12,Water Gun,40,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,19,Rollout,30x,Spin again until Rollout does not land - damage is multiplied by the number of Rollout spins,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",5,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azumarill,Sprites/184MS.png,LightSeaGreen,TypeLabels/Water.png,DeepPink,TypeLabels/Fairy.png,,mp2.png,,,2,Water,Fairy,"Huge Power> If this Pokemon is not affected by a special condition, it deals +50 damage.","rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",5,5,Aqua Jet,30,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,13,Play Rough,80,"On the next turn, your opponent cannot use plates","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,20,Belly Drum,★,Attaches a Final Song marker to this Pokemon. The Pokemon with that marker is knocked out 5 turns later. Your Pokemon that have Belly Drum deal +50 damage while that Pokemon is on the field,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",4,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Politoed,Sprites/186MS.png,LightSeaGreen,TypeLabels/Water.png,,,,mp2.png,,,2,Water,,"Big Chorus> If there are 3 or more Politoed on the field (including this Pokemon), the opposing player cannot use plates.","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,2,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,10,Hydro Pump,90,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,18,Round,40x,Damage is multiplied by the number of your own Pokemon on the field that also have Round,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,19,Miss,,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",5,24,Protect,,This Pokemon gains Wait,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Espeon,Sprites/196MS.png,HotPink,TypeLabels/Psychic.png,,,,mp3.png,,,3,Psychic,,"Psychic Arrow> It can MP move through your Pokemon and opposing Fighting-type and Poison-type Pokemon. If there are opposing Pokemon on all your entry points, this Pokemon gains +1 MP.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",6,6,Psyshock,★★★,"If the battle opponent is affected by a special condition or has Wait, the battle opponent is knocked out. The battle opponent gains Wait 3","rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",8,14,Dazzling Gleam,90,"Opposing Pokemon adjacent to this Pokemon spin, and if they spin a Gold Attack then they are knocked out","rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,15,Miss,,,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",6,21,Quick Attack,50,,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",3,24,Dodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umbreon,Sprites/197MS.png,Black,TypeLabels/Dark.png,,,,mp3.png,,,3,Dark,,"Dark Arrow> This Pokemon can MP move through your Pokemon and opposing Psychic-type and Ghost-type Pokemon. If there are opposing Pokemon on all of your entry points, this Pokemon gains +1 MP.","rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",7,7,Dark Moon,★★★,Reduces the opponents Z-Move gauge by two-thirds of its max value.,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",7,14,Sucker Punch,70,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",1,15,Miss,,,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",6,21,Moon Twinkle,70,Deals +20 damage for each Pokemon that knows Moonblast on the field.,"rgb(0,255,255,0.5)","rgb(0,255,255,0.5)",3,24,Dodge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murkrow,Sprites/198MS.png,Black,TypeLabels/Dark.png,RoyalBlue,TypeLabels/Flying.png,,mp3.png,,Honchkrow,3,Dark,Flying,,"rgb(255,215,0,0.5)","rgb(255,215,0,0.5)",7,7,Sucker Punch,10,,"rgb(147,112,216,0.5)","rgb(147,112,216,0.5)",8,15,Whirlwind,★,The battle opponent is moved to the bench and gains Wait,"rgb(128,128,128,0.5)","rgb(128,128,128,0.5)",7,22,Astonish,30,,"rgb(255,0,0,0.5)","rgb(255,0,0,0.5)",2,24,Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
